Hyundai Creta I 2016-2020,
Hyundai Creta I 2020-2021,
Hyundai Solaris I 2010-2014,
Hyundai Solaris I 2014-2017,
Hyundai Solaris II 2017-2020,
Hyundai Solaris II 2020-2021,
Hyundai Tucson I 2004-2010,
Hyundai Tucson III 2015-2018,
Hyundai Tucson III 2018-2021,
Kia Rio II 2005-2009,
Kia Rio II 2009-2011,
Kia Rio III 2011-2015,
Kia Rio III 2015-2017,
Kia Rio IV 2017-2020,
Kia Rio IV 2020-2021,
Kia Sportage II 2004-2008,
Kia Sportage II 2008-2010,
Kia Sportage III 2010-2014,
Kia Sportage III 2014-2016,
Kia Sportage IV 2016-2018,
Kia Sportage IV 2018-2021,
Lada 2121 (4x4) I 1993-2020,
Lada 2121 (4x4) I 2019-2021,
Lada Granta I 2011-2018,
Lada Granta I 2018-2021,
Lada Largus Cross I 2012-2021,
Lada Largus I 2012-2021,
Lada Vesta I 2015-2021,
Lada Vesta SW I 2015-2021,
Lada Xray Cross I 2015-2021,
Lada Xray I 2015-2021,
Mazda CX-5 I 2011-2015,
Mazda CX-5 I 2015-2017,
Mazda CX-5 II 2017-2021,
Mitsubishi Outlander I 2002-2008,
Mitsubishi Outlander II 2005-2009,
Mitsubishi Outlander II 2009-2013,
Mitsubishi Outlander III 2012-2015,
Mitsubishi Outlander III 2014-2015,
Mitsubishi Outlander III 2015-2018,
Mitsubishi Outlander III 2018-2021,
Nissan Qashqai I 2006-2010,
Nissan Qashqai I 2010-2013,
Nissan Qashqai II 2013-2019,
Nissan Qashqai II 2017-2021,
Nissan X-Trail I 2000-2007,
Nissan X-Trail II 2007-2011,
Nissan X-Trail II 2010-2015,
Nissan X-Trail III 2013-2019,
Nissan X-Trail III 2017-2021,
Renault Duster I 2010-2015,
Renault Duster I 2015-2021,
Renault Kaptur I 2016-2020,
Renault Kaptur I 2020-2021,
Renault Logan I 2004-2009,
Renault Logan I 2009-2015,
Renault Logan II 2015-2018,
Renault Logan II 2018-2021,
Renault Sandero I 2009-2014,
Renault Sandero II 2013-2018,
Renault Sandero II 2018-2021,
Skoda Kodiaq I 2016-2021,
Skoda Octavia I 2000-2011,
Skoda Octavia II 2004-2009,
Skoda Octavia II 2008-2013,
Skoda Octavia III 2013-2017,
Skoda Octavia III 2017-2020,
Skoda Octavia IV 2019-2021,
Skoda Rapid I 2012-2017,
Skoda Rapid I 2017-2020,
Skoda Rapid II 2020-2021,
Toyota Camry VI 2006-2009,
Toyota Camry VI 2009-2011,
Toyota Camry VII 2011-2014,
Toyota Camry VII 2014-2017,
Toyota Camry VII 2017-2018,
Toyota Camry VIII 2017-2021,
Toyota RAV4 III 2005-2010,
Toyota RAV4 III 2010-2014,
Toyota RAV4 IV 2012-2015,
Toyota RAV4 IV 2015-2019,
Toyota RAV4 V 2018-2021,
VW Polo V 2009-2015,
VW Polo V 2014-2020,
VW Polo VI 2020-2021,
VW Tiguan I 2007-2011,
VW Tiguan I 2011-2016,
VW Tiguan II 2016-2020,
VW Tiguan II 2020-2021
